"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5823525";"";"None";"393.87";"0";"3.95";"BDBM302060";"O=C1CCc2cc(/C=C/C(=O)N3CC=C(c4ccccc4Cl)CC3)cnc2N1";"IC50";"'='";"1470.0";"nM";"5.83";"";"578217";"UO_0000065";"14.81";"0.28";"1.88";"9.36";"0";"CHEMBL5731701";"Enzyme Inhibition Assay: FabI enzyme inhibition assays were carried out in half-area, 384-well microtitre plates. Compounds were evaluated in 40-μl assay mixtures containing 100 mM NaADA, pH 6.5 (ADA=N-[2-acetamido]-2iminodiacetic acid), 250 μM crotonoyl-CoA, 625 μM NADH and 50 μg/ml S. aureus ATCC 29213 FabI Inhibitors were typically varied over the range of 50 to 0.39 μM. The reaction mixtures were incubated for 30 minutes at room temperature and the reaction was stopped by adding 200 mM Tris buffer (pH 9.0) to create a pH-shift. The consumption of NADH was monitored by measuring the change in absorbance at 340. By comparing sample readings to those of negative (absence of compound) and positive (absence of enzyme) controls, the percent inhibition of enzymatic activity of the compounds was determined A best-fit curve is fitted by a minimum of squares method. From this an IC50-value (expressed in μg/ml), resulting in 50% inhibition of enzymatic activity, was obtained.";"B";"BAO_0000019";"assay format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL5725922";"37";"BindingDB Patent Bioactivity Data";"";"2017";"None";"";"";"";"1470.0"
"CHEMBL6055454";"";"None";"433.48";"0";"4.35";"BDBM302075";"O=C1CCc2cc(/C=C/C(=O)N3CCC(Cc4coc5cc(F)ccc45)CC3)cnc2N1";"IC50";"'='";"1820.0";"nM";"5.74";"";"578232";"UO_0000065";"13.24";"0.24";"1.39";"7.61";"0";"CHEMBL5731701";"Enzyme Inhibition Assay: FabI enzyme inhibition assays were carried out in half-area, 384-well microtitre plates. Compounds were evaluated in 40-μl assay mixtures containing 100 mM NaADA, pH 6.5 (ADA=N-[2-acetamido]-2iminodiacetic acid), 250 μM crotonoyl-CoA, 625 μM NADH and 50 μg/ml S. aureus ATCC 29213 FabI Inhibitors were typically varied over the range of 50 to 0.39 μM. The reaction mixtures were incubated for 30 minutes at room temperature and the reaction was stopped by adding 200 mM Tris buffer (pH 9.0) to create a pH-shift. The consumption of NADH was monitored by measuring the change in absorbance at 340. By comparing sample readings to those of negative (absence of compound) and positive (absence of enzyme) controls, the percent inhibition of enzymatic activity of the compounds was determined A best-fit curve is fitted by a minimum of squares method. From this an IC50-value (expressed in μg/ml), resulting in 50% inhibition of enzymatic activity, was obtained.";"B";"BAO_0000019";"assay format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL5725922";"37";"BindingDB Patent Bioactivity Data";"";"2017";"None";"";"";"";"1820.0"
"CHEMBL3623418";"";"None";"402.28";"1";"5.86";"16c";"O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1ccc(Cl)cc1Cl";"IC50";"'='";"480.0";"nM";"6.32";"";"";"UO_0000065";"15.71";"0.32";"0.46";"15.62";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"0.48"
"CHEMBL3621228";"";"None";"308.33";"0";"4.81";"15n";"Cc1ccc(Oc2coc(/C=C/c3ccoc3)cc2=O)c(C)c1";"IC50";"'='";"2290.0";"nM";"5.64";"";"";"UO_0000065";"18.29";"0.33";"0.83";"10.73";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"2.29"
"CHEMBL3676420";"";"None";"452.49";"0";"2.15";"BDBM9913";"NC(=O)C1Cc2cc(/C=C/C(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2NC1=O";"IC50";"'='";"78.0";"nM";"7.11";"";"266540";"UO_0000065";"15.71";"0.29";"4.96";"6.20";"0";"CHEMBL3705478";"Fluorescence Based Assay: Compound inhibitory activity of FabI enzyme is measured in vitro by the IC5 so determination using a fluorescence based assay.The protein FabI from S. aureus is prepared and purified using standard methods for recombinant protein expression after cloning of the gene in a prokaryotic expression vector.The biochemical activity of the FabI enzyme is assessed using the following method.The assay buffer AB contained 50 mM ADA (N-(2-acetamido)iminodiacetic acid monosodium salt) pH 6.5, 1 mM dithiothreitol, 0.006% Triton-X100 and 50 mM NaCl.The following components are added in a white polystyrene Costar plate (Ref 3912) up to a final volume of 55.5 uL: 1.5 uL DMSO or inhibitor dissolved in DMSO and 54 uL of a FabI/NADPH/NADP+ mixture in AB. After 60 min of pre-incubation at room temperature, the reaction is started by addition of 5 uL of trans-2-octenoyl N-acetylcysteamine thioester (t-o-NAC) to a final volume of 60.5 uL.";"B";"BAO_0000019";"assay format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3638382";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"78.0"
"CHEMBL3623404";"";"None";"304.77";"1";"5.06";"15i";"Cc1cc(Cl)ccc1Oc1coc(/C=C/C(C)C)cc1=O";"IC50";"'='";"5780.0";"nM";"5.24";"";"";"UO_0000065";"17.19";"0.34";"0.18";"13.28";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"5.78"
"CHEMBL3676408";"";"None";"343.43";"0";"2.40";"BDBM133671";"CCCCCOC1CN(C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)C1";"IC50";"'='";"25.0";"nM";"7.60";"";"305330";"UO_0000065";"22.14";"0.42";"5.20";"10.63";"1";"CHEMBL3705387";"Fluorescence Based Assay: The assay buffer 'AB' contained 50 mM ADA (N-(2-acetamido)iminodiacetic acid monosodium salt) pH 6.5, 1 mM dithiothreitol, 0.006% Triton-X100 and 50 mM NaCl. The following components are added in a white polystyrene Costar plate (Ref 3912) up to a final volume of 55.5 uL: 1.5 uL DMSO or inhibitor dissolved in DMSO and 54 uL of a FabI/NADPH/NADP+ mixture in AB. After 60 min of pre-incubation at room temperature, the reaction is started by addition of 5 uL of trans-2-octenoyl N-acetylcysteamine thioester (t-o-NAC) to a final volume of 60.5 uL. This reaction mixture is then composed of 2 nM FabI, 40 uM NADPH (Sigma, N7505), 10 uM NADP+(Sigma, N5755), 100 uM t-O-NAC and compound at defined concentration. Fluorescence intensity of NADPH (lamda=ex=360 nm, lamda=em=520 nm) is measured immediately after t-O-NAC addition (T0), and approximately 50 min later (T50) by a Fluostar Optima (BMG) so as to achieve ~30% of NADPH conversion.";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3638908";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"25.0"
"CHEMBL3621752";"";"None";"412.83";"1";"5.12";"16x";"O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc([N+](=O)[O-])c1Cl";"IC50";"'='";"17640.0";"nM";"4.75";"";"";"UO_0000065";"11.51";"0.22";"-0.37";"5.69";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"17.64"
"CHEMBL3621749";"";"None";"402.28";"1";"5.86";"16u";"O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1c(Cl)cccc1Cl";"IC50";"'='";"6430.0";"nM";"5.19";"";"";"UO_0000065";"12.91";"0.26";"-0.67";"12.83";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"6.43"
"CHEMBL3623428";"";"None";"361.44";"1";"5.17";"16m";"Cc1ccc(Oc2cn(C3CC3)c(COc3ccccc3)cc2=O)c(C)c1";"IC50";"'='";"3170.0";"nM";"5.50";"";"";"UO_0000065";"15.21";"0.28";"0.33";"13.59";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"3.17"
"CHEMBL3623413";"";"None";"359.21";"1";"5.91";"15s";"O=c1cc(/C=C/c2ccccc2)occ1Oc1c(Cl)cccc1Cl";"IC50";"'='";"4790.0";"nM";"5.32";"";"";"UO_0000065";"14.81";"0.30";"-0.59";"13.49";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"4.79"
