Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski,Scaffold
COc1c(Br)cc(Br)c(C[C@@H]2N(C)C(=O)[C@@H]3CCC[N@+]23C)c1Br,6.182010000000004,6.260378750000001,6.221194375000002,1,O=C1NC(Cc2ccccc2)[NH+]2CCCC12
CC[C@H](C)[C@@H](C(=O)N1C(=O)C=C(OC)[C@@H]1Cc1ccccc1)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,6.387133333333339,6.054745972222215,6.220939652777777,1,O=C1C=CC(Cc2ccccc2)N1
CCOC1(CCCNC(=O)C2=NO[C@@]3(C=C(Br)C(OC)=C(Br)[C@H]3O)C2)N=C(N)NC1=O,6.316018888888885,6.125830839947088,6.220924864417986,1,O=C(NCCCC1N=CNC1=O)C1=NOC2(C=CC=CC2)C1
CC(=O)CC(=O)N1C(=O)[C@@H]2[C@@H](Cc3cccc4c3C2(O)C(=O)N4C)C1(C)C,6.305196666666667,6.136199484126983,6.220698075396825,0,O=C1Nc2cccc3c2C1C1C(=O)NCC1C3
C#CCCCC1CC(=O)O[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1,6.215546666666667,6.225002298280419,6.220274482473544,1,O=C1CNC(=O)CNC(=O)COC(=O)CNC(=O)C2CCCN2C(=O)COC(=O)CCN1
CC(C)=CCC/C(C)=C/C[C@@]12CCN(C)[C@@H]1Nc1c(Br)cc(Br)c(O)c12,6.233843333333335,6.20203429563492,6.217938814484127,1,c1ccc2c(c1)NC1NCCC21
C=C1/C=C/C(=O)N(C)CC(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)O[C@@H]([C@@H](C)CCCCCCCCCCCCCCC)[C@H](C)C(=O)N1,6.196733333333338,6.2267255609668055,6.211729447150072,1,C=C1C=CC(=O)NCC(=O)NCC(=O)OCCC(=O)N1
CCCCC[C@H]1NC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)OC(=O)[C@H]1C,6.170616666666664,6.251009083994708,6.210812875330686,1,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)COC(=O)CCN1
O=C(NCCCOc1c(Br)cc(CC[n+]2ccccc2)cc1Br)/C(Cc1ccccc1)=N/O,6.239090000000003,6.1792814682539685,6.209185734126986,1,N=C(Cc1ccccc1)C(=O)NCCCOc1ccc(CC[n+]2ccccc2)cc1
COC(=O)C[C@H]1[C@@H](C)C(=O)[C@H]2C[C@]3(CC[C@@]4(C)C(=CC(=O)O[C@@H]4c4ccoc4)C3=O)N[C@@H]2C1(C)C,6.250227777777781,6.168049530423279,6.20913865410053,0,O=C1C=C2C(=O)C3(CCC2C(c2ccoc2)O1)CC1C(=O)CCCC1N3
