MolLogP,MolWt,NumRotatableBonds,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,pChEMBL_Value
0.9603999999999997,336.3950000000001,2,0,3,0,1,2,5.316788604006331,16.00989599106965,24.303531089785253,17.547724606320003,0.0,6.076020106833881,5.817862777835028,0.0,0.0,14.783797982648164,11.835812092322787,31.495814227656634,23.70824234337192,9.589074368143644,4.9839785209472085,0.0,0.0,6.423349895620259,29.690111781615492,62.75289211918826,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.1
1.783,327.3840000000001,5,0,2,0,1,1,5.316788604006331,20.7467589448697,0.0,24.471461806010623,0.0,6.076020106833881,5.817862777835028,0.0,0.0,9.883888251797686,0.0,25.0131833803444,23.70824234337192,9.589074368143644,4.9839785209472085,0.0,0.0,12.152040213667764,36.61384898130611,31.783198113198118,12.71084835226122,5.817862777835028,0.0,11.814359458703011,0.0,0.0,6.77
1.8671999999999997,433.4680000000002,4,0,3,1,1,2,10.38000632897168,24.636190605348876,5.41499046939678,31.525675508852714,0.0,6.076020106833881,5.687386274683562,0.0,0.0,20.184655376751223,5.41499046939678,12.173015266242881,29.361010786585393,24.121109866802577,10.047196245912557,0.0,6.578935683598497,38.122595711599956,23.120829136389265,12.617665194539086,30.233422354970877,5.697039313055833,0.0,11.570039764721418,11.814359458703011,0.0,4.4
3.203500000000002,362.43300000000005,5,0,0,1,2,0,5.316788604006331,23.18150275673341,0.0,18.18111668623608,0.0,16.978945038914937,5.817862777835028,0.0,0.0,14.450987899589041,7.04767198267719,12.36446058668352,34.61116727545298,9.589074368143644,4.9839785209472085,0.0,0.0,18.19910120538483,41.29116408684211,44.50257355595669,6.544756405912575,5.817862777835028,0.0,11.814359458703011,0.0,0.0,6.52
1.8758,352.394,6,0,1,0,2,1,5.316788604006331,20.93281928645661,0.0,18.050640183084614,0.0,6.076020106833881,5.817862777835028,0.0,0.0,14.867866772744893,0.0,18.406301415831482,23.708242343371918,14.573052889090853,4.9839785209472085,0.0,0.0,0.0,41.468391364074314,44.67980083318888,12.71084835226122,5.817862777835028,0.0,11.814359458703011,0.0,0.0,6.58
3.7338200000000024,375.4280000000001,4,0,1,1,2,1,5.316788604006331,9.589074368143644,6.923737199690624,29.72879364812045,0.0,17.04526446294092,5.817862777835028,0.0,0.0,9.883888251797686,0.0,18.406301415831482,34.677486699478955,9.589074368143644,4.9839785209472085,0.0,0.0,18.19910120538483,42.325761495303325,37.67233790442753,5.917906046161393,17.16113033835171,0.0,11.814359458703011,0.0,0.0,6.79
2.798000000000001,379.41600000000017,4,0,2,1,1,1,14.790514511606428,9.589074368143644,0.0,30.389367852172015,0.0,6.076020106833881,5.817862777835028,11.49902366656781,0.0,9.883888251797686,0.0,25.19924372193131,23.708242343371918,9.589074368143644,4.9839785209472085,0.0,0.0,6.06636706846161,47.88921298700032,38.204019736124124,0.0,5.817862777835028,11.49902366656781,18.607301764802838,0.0,0.0,5.96
3.069300000000002,335.40700000000004,4,0,1,1,1,1,5.316788604006331,9.589074368143644,0.0,30.389367852172015,0.0,6.076020106833881,5.817862777835028,0.0,0.0,9.883888251797686,0.0,18.406301415831482,23.708242343371918,9.589074368143644,4.9839785209472085,0.0,0.0,30.33183534230805,35.7564788500771,38.204019736124124,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.92
2.4643000000000006,336.39500000000004,4,0,1,0,2,1,5.316788604006331,9.589074368143644,0.0,30.51984435532348,0.0,6.076020106833881,5.817862777835028,0.0,0.0,14.867866772744893,0.0,18.406301415831482,23.708242343371918,14.573052889090853,4.9839785209472085,0.0,0.0,6.06636706846161,42.325761495303325,50.09479130258566,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,4.55
2.5258000000000003,342.42400000000004,4,0,1,0,2,1,5.316788604006331,9.589074368143644,0.0,29.833540057327784,0.0,6.076020106833881,5.817862777835028,0.0,0.0,14.867866772744893,0.0,18.406301415831482,35.04502822130665,9.589074368143644,9.967957041894417,0.0,11.336785877934737,0.0,30.193027358380107,49.78092607820311,5.007623696852765,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.35
3.5119200000000026,376.4600000000001,5,0,0,1,2,0,5.316788604006331,23.18150275673341,6.923737199690624,23.744568177933076,0.0,16.978945038914937,5.817862777835028,0.0,0.0,14.450987899589041,7.04767198267719,12.36446058668352,34.61116727545298,9.589074368143644,4.9839785209472085,0.0,0.0,18.19910120538483,47.71198570976813,44.50257355595668,6.544756405912575,5.817862777835028,0.0,11.814359458703011,0.0,0.0,6.03
3.343600000000002,576.4220000000004,5,0,0,3,2,0,10.857580783801081,0.0,0.0,55.27942910245652,0.0,44.034636051715104,0.0,22.99804733313562,0.0,0.0,0.0,0.0,56.41283353695469,19.178148736287287,9.589074368143644,0.0,0.0,0.0,19.913841467842857,23.259637120317212,27.28557562678838,34.13912640395978,34.5645372258655,10.857580783801081,0.0,11.938610575903699,6.05
3.805500000000003,433.53300000000024,4,1,2,0,2,1,5.316788604006331,16.00989599106965,11.835812092322787,45.44111500041106,0.0,11.64912463690315,5.817862777835028,0.0,0.0,9.883888251797686,11.835812092322787,18.406301415831482,46.40137769774086,14.383611552215466,4.9839785209472085,0.0,11.336785877934737,6.076020106833881,72.5763213635474,36.660345306899416,4.877147193701299,5.817862777835028,5.783244946364939,11.814359458703011,0.0,0.0,6.0
3.851600000000003,309.38100000000003,3,0,1,1,0,1,4.736862953800049,4.736862953800049,11.735126887207288,33.61285484492389,0.0,0.0,9.184952231746642,5.749511833283905,0.0,4.899909730850478,5.917906046161393,19.696394776338067,6.093240070938415,0.0,9.184952231746642,0.0,0.0,0.0,63.79622916493172,13.08951281182515,6.606881964512918,17.16778348531349,0.0,0.0,0.0,6.093240070938415,6.6
3.851600000000003,309.38100000000003,3,0,1,1,0,1,4.736862953800049,4.736862953800049,11.735126887207288,33.61285484492389,0.0,0.0,9.184952231746642,5.749511833283905,0.0,4.899909730850478,5.917906046161393,19.696394776338067,6.093240070938415,0.0,9.184952231746642,0.0,0.0,0.0,57.878323118770325,19.007418857986544,6.606881964512918,17.16778348531349,0.0,0.0,0.0,6.093240070938415,5.89
4.725300000000004,310.34900000000005,3,0,0,2,1,0,0.0,6.4208216229260096,0.0,19.410925891078243,0.0,22.292943266678478,0.0,17.248535499851716,0.0,0.0,0.0,0.0,10.969244356107037,0.0,0.0,0.0,0.0,11.64912463690315,50.60013136461531,22.579494266320395,0.0,28.5918030603684,0.0,0.0,0.0,0.0,4.08
8.264200000000004,648.7080000000004,7,1,0,4,1,0,0.0,6.4208216229260096,5.917906046161393,66.07618846518046,0.0,22.292943266678478,0.0,40.246582832987336,0.0,0.0,5.917906046161393,0.0,16.75248930247198,4.794537184071822,0.0,0.0,0.0,29.364616342267908,87.70724288431377,51.96303096496318,5.563451491696996,51.589850393504015,5.783244946364939,0.0,0.0,0.0,5.26
4.902620000000004,304.7730000000001,4,0,0,1,1,0,10.16565334570059,6.4208216229260096,6.923737199690624,25.171173309952685,5.022633313741326,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,11.600939890232516,4.794537184071822,0.0,0.0,0.0,23.250064527135663,44.53376429615369,17.509822005128946,0.0,17.772922247797403,0.0,11.178302225184446,0.0,0.0,5.24
5.184200000000004,254.4139999999999,12,0,0,0,0,0,0.0,4.794537184071822,5.917906046161393,78.05569062864137,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,51.682801104753054,38.02201416079144,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.969305287951849,4.8
5.574300000000005,268.44099999999986,13,0,0,0,0,0,0.0,4.794537184071822,5.917906046161393,84.47651225156739,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,58.10362272767907,38.02201416079144,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.969305287951849,4.79
1.6154999999999997,406.4460000000002,6,0,2,0,2,1,5.316788604006331,27.268306197732294,0.0,30.295866304010552,0.0,6.076020106833881,5.817862777835028,0.0,0.0,19.851845293692104,5.15571272675054,18.406301415831482,29.41992734614262,9.589074368143644,14.951935562841626,0.0,0.0,5.15571272675054,42.68021604976772,37.508194067525125,18.801197814595852,11.642267275834955,6.103966387748303,11.814359458703011,0.0,0.0,6.06
2.4041000000000006,323.3960000000001,2,1,2,0,1,1,5.316788604006331,16.00989599106965,11.835812092322787,30.892283428936633,0.0,6.076020106833881,5.817862777835028,0.0,0.0,9.883888251797686,11.835812092322787,18.406301415831482,23.70824234337192,9.589074368143644,4.9839785209472085,0.0,0.0,11.64912463690315,54.870482696554916,31.783198113198118,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.81
4.601000000000006,518.4740000000003,1,0,2,4,0,0,9.473725907600098,0.0,0.0,47.405094996770906,0.0,32.671799841253176,0.0,45.99609466627124,0.0,0.0,0.0,0.0,33.11138675058906,9.589074368143644,0.0,0.0,0.0,0.0,25.980208536304467,46.87372879509882,10.772448428929591,69.33093042516184,11.566489892729878,0.0,0.0,0.0,5.72
3.541400000000002,373.456,3,0,2,1,1,0,5.316788604006331,16.00989599106965,5.917906046161393,30.034913297707618,0.0,11.64912463690315,5.817862777835028,0.0,0.0,9.883888251797686,5.917906046161393,18.406301415831482,29.281346873441187,9.589074368143644,4.9839785209472085,0.0,0.0,43.331592648832554,46.744573849543144,31.783198113198118,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.82
2.794200000000001,337.4230000000001,3,1,2,0,1,1,5.316788604006331,16.00989599106965,11.835812092322787,37.31310505186264,0.0,6.076020106833881,5.817862777835028,0.0,0.0,9.883888251797686,11.835812092322787,18.406301415831482,23.70824234337192,9.589074368143644,4.9839785209472085,0.0,0.0,18.572861836593773,54.367567119790294,31.783198113198118,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,5.97
4.902620000000004,304.7730000000001,5,0,0,1,1,0,10.16565334570059,6.4208216229260096,6.923737199690624,24.66825773318807,5.022633313741326,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,11.600939890232516,4.794537184071822,0.0,0.0,0.0,30.676717303590898,37.10711151969846,17.509822005128946,0.0,17.772922247797403,0.0,11.178302225184446,0.0,0.0,5.19
3.018200000000001,327.4280000000001,4,0,2,0,1,1,5.316788604006331,16.00989599106965,5.917906046161393,50.15474829771466,0.0,6.076020106833881,5.817862777835028,0.0,0.0,9.883888251797686,5.917906046161393,18.406301415831482,23.70824234337192,9.589074368143644,4.9839785209472085,0.0,0.0,19.765380445542643,48.4496610736289,31.783198113198118,0.0,5.817862777835028,0.0,11.814359458703011,0.0,0.0,7.39
