Smiles,Standard Relation,pChEMBL Value
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccsc5Cl)CC4C3)cnc2=N1,'=',5.75
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5cn[nH]c5)CC4C3)cnc2=N1,'=',5.84
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5nccs5)CC4C3)cnc2=N1,'=',5.93
O=C1CCc2cc(=CCC(=O)N3CC4C=CCC4C3)cnc2=N1,'=',5.57
O=C1CCc2cc(=CCC(=O)N3CC4CC(F)(F)CC4C3)cnc2=N1,'=',5.32
O=C1CCc2cc(=CCC(=O)N3CC4CC(n5cccn5)CC4C3)cnc2=N1,'=',5.56
O=C1CCc2cc(=CCC(=O)N3CC4CC(n5ccnn5)CC4C3)cnc2=N1,'=',5.26
O=C1CCc2cc(=CCC(=O)N3CC4CC(n5cncn5)CC4C3)cnc2=N1,'=',5.05
O=C1CCc2cc(=CCC(=O)N3CC4CC(n5nccn5)CC4C3)cnc2=N1,'=',5.83
O=C1CCc2cc(=CCC(=O)N3CC=C(c4cc5ccccc5o4)CC3)cnc2=N1,'=',5.32
O=C1CCc2cc(=CCC(=O)N3CC=C(c4ccc5c(c4)OCO5)CC3)cnc2=N1,'=',5.88
O=C1CCc2cc(=CCC(=O)N3CC=C(c4cccc(C(F)(F)F)c4)CC3)cnc2=N1,'=',5.58
O=C1CCc2cc(=CCC(=O)N3CC=C(c4ccccc4)CC3)cnc2=N1,'=',5.94
O=C1CCc2cc(=CCC(=O)N3CC=C(c4ccccc4Cl)CC3)cnc2=N1,'=',5.83
O=C1CCc2cc(=CCC(=O)N3CC=C(c4cccnc4)CC3)cnc2=N1,'=',5.73
O=C1CCc2cc(=CCC(=O)N3CC=C(c4ccco4)CC3)cnc2=N1,'=',6.01
O=C1CCc2cc(=CCC(=O)N3CC=C(c4ccoc4)CC3)cnc2=N1,'=',5.86
O=C1CCc2cc(=CCC(=O)N3CC=CCC3)cnc2=N1,'=',4.9
O=C1CCc2cc(=CCC(=O)N3CCC(C(=O)c4ccccc4)CC3)cnc2=N1,'=',5.35
O=C1CCc2cc(=CCC(=O)N3CCC(CC4CCCS4)CC3)cnc2=N1,'=',5.8
O=C1CCc2cc(=CCC(=O)N3CCC(CCO)CC3)cnc2=N1,'=',5.28
O=C1CCc2cc(=CCC(=O)N3CCC(CCOc4ccc(F)cc4)CC3)cnc2=N1,'=',5.5
O=C1CCc2cc(=CCC(=O)N3CCC(CCOc4ccccc4)CC3)cnc2=N1,'=',5.61
O=C1CCc2cc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=N1,'=',5.94
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4ccc5ccccc5n4)CC3)cnc2=N1,'=',5.1
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4ccccc4)CC3)cnc2=N1,'=',6.08
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4ccccn4)CC3)cnc2=N1,'=',5.9
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4cccs4)CC3)cnc2=N1,'=',5.88
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4coc5cc(F)ccc45)CC3)cnc2=N1,'=',5.74
O=C1CCc2cc(=CCC(=O)N3CCC(Cc4nc5ccccc5s4)CC3)cnc2=N1,'=',5.4
O=C1CCc2cc(=CCC(=O)N3CCC(Cn4ccc5ccccc54)CC3)cnc2=N1,'=',5.18
O=C1CCc2cc(=CCC(=O)N3CCC(Cn4cncn4)CC3)cnc2=N1,'=',5.41
O=C1CCc2cc(=CCC(=O)N3CCC(O)(c4ccc(Cl)cc4)CC3)cnc2=N1,'=',5.71
O=C1CCc2cc(=CCC(=O)N3CCC(O)(c4ccccc4)CC3)cnc2=N1,'=',6.47
O=C1CCc2cc(=CCC(=O)N3CCC(Oc4ccccc4)C3)cnc2=N1,'=',6.92
O=C1CCc2cc(=CCC(=O)N3CCC(Oc4ccccc4)CC3)cnc2=N1,'=',5.61
O=C1CCc2cc(=CCC(=O)N3CCC(Oc4cccnc4)C3)cnc2=N1,'=',6.03
O=C1CCc2cc(=CCC(=O)N3CCC(c4cccc(O)c4)CC3)cnc2=N1,'=',6.03
O=C1CCc2cc(=CCC(=O)N3CCC(c4ccccc4)CC3)cnc2=N1,'=',6.1
O=C1CCc2cc(=CCC(=O)N3CCC3)cnc2=N1,'=',4.96
O=C1CCc2cc(=CCC(=O)N3CCCC(COc4ccc(F)cc4)C3)cnc2=N1,'=',5.89
O=C1CCc2cc(=CCC(=O)N3CCCC(Oc4ccccc4)C3)cnc2=N1,'=',5.03
O=C1CCc2cc(=CCC(=O)N3CCCC3)cnc2=N1,'=',5.26
O=C1CCc2cc(=CCC(=O)N3CCCC3c3ccccc3)cnc2=N1,'=',5.15
O=C1CCc2cc(=CCC(=O)N3CCCCC3)cnc2=N1,'=',5.006666666666667
O=C1CCc2cc(=CCC(=O)N3CCCC[C@@H]3c3nc4ccccc4o3)cnc2=N1,'=',5.75
O=C1CCc2cc(=CCC(=O)N3CCCC[C@H]3c3nc4ccccc4o3)cnc2=N1,'=',5.75
O=C1CCc2cc(=CCC(=O)N3CCN(Cc4ccccc4)CC3)cnc2=N1,'=',4.72
O=C1CCc2cc(=CCC(=O)N3CCN(c4ccccc4)CC3)cnc2=N1,'=',5.39
O=C1CCc2cc(=CCC(=O)N3CCc4ccccc4C3)cnc2=N1,'=',5.84
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CC(O)(c5ccccc5)C[C@@H]4C3)cnc2=N1,'=',5.2
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CC(c5ccncc5)=C[C@@H]4C3)cnc2=N1,'=',5.95
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CC(c5ccsc5)=C[C@@H]4C3)cnc2=N1,'=',5.94
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(S(=O)(=O)c5ccccc5)C[C@@H]4C3)cnc2=N1,'=',5.17
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5ccc(Cl)cc5)C[C@@H]4C3)cnc2=N1,'=',5.53
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5cccc(Cl)c5)C[C@@H]4C3)cnc2=N1,'=',5.66
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5ccccc5)C[C@@H]4C3)cnc2=N1,'=',5.7
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5ccccc5Cl)C[C@@H]4C3)cnc2=N1,'=',5.98
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5cccnc5)C[C@@H]4C3)cnc2=N1,'=',5.56
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5cccs5)C[C@@H]4C3)cnc2=N1,'=',5.75
O=C1CCc2cc(=CCC(=O)N3C[C@@H]4CN(c5nccs5)C[C@@H]4C3)cnc2=N1,'=',5.84
O=C1CCc2cc(=CCC(=O)N3C[C@H]4CC(Oc5ccccc5)C[C@H]4C3)cnc2=N1,'=',5.34
O=C1CCc2cc(=CCC(=O)N3C[C@H]4CC(c5ccsc5)=C[C@H]4C3)cnc2=N1,'=',5.93
O=C1CCc2cc(=CCC(=O)N3C[C@H]4CN(Cc5cccs5)C[C@H]4C3)cnc2=N1,'=',5.04
O=C1CCc2cc(C#CC(=O)N3CC4C=C(c5ccccc5)CC4C3)cnc2N1,'=',5.68
O=C1N=c2ncc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cc2CC1CO,'=',7.09
O=[N+]([O-])c1cccc(Cn2cnc(-c3ccsc3)c2)c1,'=',4.83
O=c1cc(/C=C/c2ccccc2)occ1Oc1c(Cl)cccc1Cl,'=',5.32
O=c1cc(/C=C/c2ccccc2)occ1Oc1ccc(Cl)cc1Cl,'=',5.34
O=c1cc(/C=C/c2ccccc2)occ1Oc1cccc(Cl)c1Cl,'=',5.17
O=c1cc(/C=C/c2cccnc2)occ1Oc1c(Cl)cccc1Cl,'=',5.43
O=c1cc(/C=C/c2cccnc2)occ1Oc1ccc(Cl)cc1Cl,'=',5.69
O=c1cc(/C=C/c2cccnc2)occ1Oc1cccc(Cl)c1Cl,'=',5.46
O=c1cc(/C=C/c2ccoc2)occ1Oc1c(Cl)cccc1Cl,'=',5.38
O=c1cc(/C=C/c2ccoc2)occ1Oc1ccc(Cl)cc1Cl,'=',5.72
O=c1cc(/C=C/c2ccoc2)occ1Oc1cccc(Cl)c1Cl,'=',5.25
O=c1cc(COc2ccccc2)[nH]cc1Oc1c(Cl)cccc1Cl,'=',5.3
O=c1cc(COc2ccccc2)[nH]cc1Oc1ccc(Cl)cc1Cl,'=',5.74
O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc(Cl)c1Cl,'=',6.08
O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc([N+](=O)[O-])c1Cl,'=',4.93
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1c(Cl)cccc1Cl,'=',5.19
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1ccc(Cl)cc1Cl,'=',6.32
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc(Cl)c1Cl,'=',5.82
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc([N+](=O)[O-])c1Cl,'=',4.75
O=c1cc(COc2ccccc2)n(Cc2ccccc2)cc1Oc1ccc(Cl)cc1Cl,'=',5.85
O=c1cc(COc2ccccc2)occ1Oc1c(Cl)cccc1Cl,'=',5.85
O=c1cc(COc2ccccc2)occ1Oc1ccc(Cl)cc1Cl,'=',6.17
O=c1cc(COc2ccccc2)occ1Oc1cccc(Cl)c1Cl,'=',5.9
O=c1cc(O)cc(C2c3c(cc(C=Cc4cc(O)c(O)cc4-c4c(O)cc(C=Cc5ccc(O)c(O)c5)oc4=O)oc3=O)O[C@@H]2c2ccc(O)c(O)c2)o1,'=',5.22
O=c1cc(O)cc(C2c3c(cc(C=Cc4ccc(O)c(O)c4)oc3=O)O[C@@H]2c2ccc(O)c(O)c2)o1,'=',4.82
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,'=',6.534000000000001
c1ccc(-c2ccc(Cn3cnc(-c4ccsc4)c3)cc2)cc1,'=',5.12
