Smiles,Standard Relation,pChEMBL Value
CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c(O)[nH]c4cc(ccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,'=',6.22
CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4c(cccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,'=',6.52
CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3cc4ccc(cc4[nH]3)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,'=',6.3
CNc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',5.68
COC(=O)C1Cc2cc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O,'=',7.22
COC(=O)c1cc2cc(C=CC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2[nH]c1=O,'=',6.26
COC(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',5.7
COC1CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.38
COCc1cc(=O)c(Oc2ccc(Cl)cc2)co1,'=',5.28
COc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,'=',6.7
COc1ccc(-c2c[nH]c(Cc3ccc(C)cc3)n2)cc1,'=',4.18
COc1ccc(-c2cn(Cc3ccc(C(F)(F)F)cc3)cn2)cc1,'=',5.39
COc1ccc(-c2cn(Cc3ccc(C)cc3)cn2)cc1,'=',6.52
COc1ccc(-c2cn(Cc3ccccc3)cn2)cc1,'=',5.95
COc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',6.43
COc1ccc(C2=CCN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2)cc1,'=',5.66
COc1ccc(C2CCN(C(=O)C=Cc3ccc(NC(C)=O)nc3)C2)cc1,'=',5.44
COc1ccc(C2CCN(C(=O)Cc3ccccc3Cl)C2)cc1,'=',4.9
COc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,'=',5.72
COc1ccc(N2CC(c3nc4ccccc4n3C)CC2=O)cc1Br,'=',5.52
COc1cccc(C2=CCN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2)c1,'=',5.62
COc1cccc(N2CC(c3nc4ccccc4n3C)CC2=O)c1C,'=',5.64
COc1ccccc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.84
COc1ccccc1C1=CCCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',5.69
COc1ccccc1C1=CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',6.09
COc1ccccc1C1CCN(C(=O)C=Cc2ccc(NC(C)=O)nc2)C1,'=',5.46
COc1ccccc1C1CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',5.87
COc1ccccc1C1CCN(C(=O)Cc2c(F)cccc2F)C1,'=',5.24
COc1ccccc1C1CCN(C(=O)Cc2cccc(F)c2F)C1,'=',5.52
COc1ccccc1C1CCN(C(=O)Cc2ccccc2Cl)C1,'=',6.3
COc1ccccc1C1CCN(C(=O)Cc2ccccc2F)C1,'=',5.34
COc1ccccc1CC1=CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',5.58
COc1ccccc1N1C[C@H]2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C[C@H]2C1,'=',5.92
COc1ccncc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.89
COc1ccncc1C1=CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',5.7
COc1ccsc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.99
CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1,'=',6.0
CS(=O)(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,'=',6.48
Cc1[nH]c2ccccc2c1CN(C)C(=O)C=Cc1cnc2c(c1)CCC(=O)N2,'=',7.3
Cc1c(Br)cccc1N1CC(c2nc3cc(F)c(F)cc3n2C)CC1=O,'=',5.28
Cc1c(Br)cccc1N1CC(c2nc3ccccc3n2C(C)C)CC1=O,'=',5.76
Cc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,'=',6.76
Cc1c(Br)cccc1N1C[C@@H](c2nc3ccccc3n2C)CC1=O,'=',7.03
Cc1c(C2CN(C(=O)C=Cc3ccc(NC(=O)Cn4ccnn4)nc3)C2)oc2ccccc12,'=',6.07
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)oc2ccc(Cl)cc12,'=',6.69
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)oc2ccccc12,'=',6.85
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)sc2ccccc12,'=',6.15
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CN(C)CC(=O)N4)C2)oc2ccccc12,'=',6.95
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CN(CCN3CCOCC3)C(=O)N4)C2)oc2ccccc12,'=',7.24
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CN(CCN3CCOCC3)CC(=O)N4)C2)oc2ccccc12,'=',6.54
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)CNCC(=O)N4)C2)oc2ccccc12,'=',6.42
Cc1c(C2CN(C(=O)C=Cc3cnc4c(c3)NCCC(=O)N4)C2)oc2ccccc12,'=',6.5
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N3)oc2ccccc12,'=',7.7
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N3)sc2ccc(F)cc12,'=',7.55
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N3)sc2ccccc12,'=',7.85
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCNCC2)C(=O)N3)oc2ccccc12,'=',7.31
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCNCC2)C(=O)N3)sc2ccccc12,'=',7.32
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)c2ccccc2n1C,'=',7.055
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)oc2ccccc12,'=',7.586666666666667
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)sc2ccccc12,'=',7.52
