Smiles,MolLogP,MolWt,NumRotatableBonds,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14
COC1/C=C(C)/C=C/C(C)/C=C/C(=O)OC(/C(C)=C/C=C(\C)CNC(=O)[C@H](CO)NC=O)C(C)/C=C/C=C/C(OC)CC/C=C(C)/C=C/C1,6.173600000000006,678.911,10,0,1,0,0,0,10.633577208012662,28.59420041361561,11.835812092322787,60.80488806692178,0.0,0.0,0.0,0.0,0.0,10.633577208012662,11.835812092322787,27.37123345298056,18.28658032341948,9.589074368143644,4.794537184071822,0.0,0.0,109.5550493784295,58.448424243771186,32.75827764146291,18.814814740009524,12.145807216896262,0.0,12.317275035467627,0.0,5.969305287951849
CCCCCCCCC/C=C/CC/C=C/[C@@H](O)[C@H](COS(=O)(=O)CCNC)NC(=O)CCCCCCCCCCCCCCC,8.912500000000003,657.0589999999997,34,0,0,0,0,0,10.633577208012662,19.09574947575508,0.0,167.94719334960556,0.0,0.0,0.0,0.0,0.0,10.633577208012662,0.0,25.95216395984947,16.02530658838506,8.97762261672153,0.0,8.417796984328938,0.0,153.726344039385,39.15178009730724,12.965578028838586,24.50554278815597,0.0,0.0,5.907179729351506,10.118126859033554,0.0
CC[C@H](O)[C@@H]1C[C@H]1[C@@H]1C[C@@H]2O[C@@H]2[C@H]1/C=C\CCCCC(=O)O,2.998100000000001,308.41800000000006,9,2,1,0,0,1,0.0,9.53140013787187,23.671624184645573,51.8694885601727,0.0,0.0,0.0,0.0,0.0,0.0,23.671624184645573,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.075777413358384,56.27864787604024,12.338727669087403,18.31189916324491,0.0,0.0,0.0,0.0,5.969305287951849
C=C(C)/C=C/C[C@]1(C)OC(=O)[C@]23CC[C@@H]4C(=CC[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](OC)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]45C)[C@]2(C)C[C@H](OC(C)=O)[C@@H]31,0.5688000000000095,1097.2550000000003,14,4,5,0,0,5,0.0,61.69456685994418,39.4136800160713,100.33564895800706,0.0,0.0,0.0,0.0,0.0,0.0,39.4136800160713,26.930443434816286,11.938610575903699,9.589074368143644,0.0,0.0,0.0,63.648153863001156,81.96193436774429,25.869346833290948,43.36147518459353,91.0565802394599,25.16010691734085,0.0,0.0,11.938610575903699
C=CCCCCCC/C=C/C=C/C(C)N,3.9726000000000026,207.36100000000002,9,0,0,0,0,0,5.733667477162185,0.0,0.0,45.448666937246685,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,6.578935683598497,43.22174378002142,32.60702369139466,6.041840829147961,0.0,0.0,0.0,0.0,0.0,0.0
CCCCC/C=C\C[C@H](O)/C=C/C=C\C/C=C\CCCC(=O)O,5.187500000000004,320.4730000000001,14,0,0,0,0,0,0.0,4.794537184071822,0.0,64.71113180602472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,68.37354130021369,38.524929737556064,6.4208216229260096,6.103966387748303,0.0,0.0,0.0,0.0,5.969305287951849
CCC(O)/C=C/C=C/C=C(/C=O)C/C=C\CCCCC(=O)O,3.5863000000000014,306.402,12,0,0,0,0,0,0.0,9.589074368143644,0.0,45.448666937246685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.255465811081404,9.589074368143644,0.0,0.0,0.0,49.45587794752779,37.67721264469931,6.4208216229260096,6.103966387748303,6.286160523129555,0.0,0.0,0.0,5.969305287951849
CCCC(=O)N/C=C\C=C\C[C@@H]1OC(=O)/C=C(\C)[C@@](C)(O)[C@H](OC(C)=O)[C@H]2O[C@H]2[C@@H]2CC[C@H]3O[C@@]4(CC[C@]3(C)O2)O[C@@H](CC(=O)[C@@H](C)CC1=O)C[C@@H]4C,4.477000000000003,743.891,7,0,7,0,0,4,5.316788604006331,52.3938636431594,11.835812092322787,112.67437662709447,0.0,0.0,0.0,0.0,0.0,5.316788604006331,11.835812092322787,0.0,29.412280197985083,19.178148736287287,4.794537184071822,0.0,0.0,32.923251812739636,64.52444435060508,63.139632403297796,23.912949974228596,23.592228532845233,23.77828887443214,5.907179729351506,0.0,11.938610575903699
C=C1C2=CC[C@@H](C)[C@@]1(C)CC/C(C)=C/CC[C@@]1(C)O[C@@H]1C2=O,4.762000000000004,300.442,0,2,1,0,0,1,0.0,9.53140013787187,11.332896515558172,59.79905691339255,0.0,0.0,0.0,0.0,0.0,0.0,11.332896515558172,0.0,5.783244946364939,4.794537184071822,0.0,0.0,0.0,38.151554826716776,62.85758355963874,5.573104530069267,0.0,11.70501719873199,5.783244946364939,0.0,0.0,0.0
CC(C)C/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=C[C@@H]4O[C@@]45C[C@@H](O)CC[C@]5(C)[C@@]3(O)CC[C@]12C,5.410900000000006,414.6300000000002,4,4,1,0,0,1,0.0,4.736862953800049,34.501605123439134,85.98525898186121,0.0,0.0,0.0,0.0,0.0,0.0,34.501605123439134,0.0,0.0,0.0,0.0,0.0,0.0,52.84674631895476,79.6054705445937,11.83581209232279,11.70501719873199,11.70501719873199,0.0,0.0,0.0,0.0
CC(CCCCCC/C=C/C=C/c1ccccc1)C[C@]1(C)C[C@@](C)(CC(=O)O)OO1,6.966800000000008,414.5860000000003,13,0,1,1,0,1,0.0,14.569679090584046,5.917906046161393,84.12205769710296,0.0,6.076020106833881,0.0,0.0,0.0,0.0,5.917906046161393,0.0,12.045325394785731,4.794537184071822,9.775141906512223,0.0,0.0,87.24293946103825,44.59129680601767,6.4208216229260096,6.4208216229260096,11.202101621967376,0.0,0.0,0.0,5.969305287951849
CC(=O)O[C@@H]1C/C(C)=C\[C@@H]2OC(=O)C(C)=C2C[C@H]2[C@](C)(O)[C@H](O)C=C[C@]2(C)[C@H]1OC(C)=O,2.136,448.51200000000017,2,2,1,0,0,0,0.0,28.59420041361561,11.332896515558172,54.38406644399575,0.0,0.0,0.0,0.0,0.0,0.0,11.332896515558172,0.0,17.90791586385555,9.589074368143644,4.794537184071822,0.0,0.0,24.648881943427654,38.84115785890103,37.174297067934695,5.601050810983688,24.41586555099321,0.0,0.0,0.0,17.90791586385555
CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,0.5428999999999998,245.23799999999994,1,0,2,1,0,0,15.207393384762284,4.794537184071822,0.0,5.563451491696996,0.0,6.076020106833881,0.0,11.49902366656781,0.0,4.899909730850478,10.726072209797854,13.840614288777017,17.94275440492922,9.694446914922299,4.992404732635669,0.0,0.0,6.06636706846161,23.772205735454097,7.04767198267719,0.0,5.697039313055833,11.49902366656781,12.752496874843661,5.907179729351506,0.0
C=CCC/C=C/C=C/C=C/CC/C=C/[C@@H](O)[C@H](O)[C@@H]1O[C@@H]([C@H](O)[C@@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)C(C)C(O)C(O)C/C=C/CC(O)/C=C/CCCCCOS(=O)(=O)[O-])O2)C[C@@H](O)[C@H]1O.[Na+],-2.569199999999975,1243.4860000000006,42,0,2,0,0,2,29.557286032607934,24.055811921899412,5.917906046161393,123.00144198912345,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,6.606881964512918,10.399000581649606,4.183085432649707,8.417796984328938,0.0,6.578935683598497,110.56088053195873,95.96752282779804,25.18037091493942,73.75051222974423,61.039663877483015,0.0,10.399000581649606,0.0,29.557286032607934
C[C@H](/C=C/[C@@H](C)[C@H](C)CO)[C@H]1[C@@H](O)[C@@H](O)[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O)C[C@@H]3[C@@H](O)C[C@]12O,2.490300000000001,480.6860000000004,5,4,0,0,0,0,0.0,0.0,52.2553232619233,73.1436157360092,0.0,0.0,0.0,0.0,0.0,0.0,52.2553232619233,6.606881964512918,0.0,0.0,0.0,0.0,0.0,46.77072621212088,78.44152533039197,18.94560963360032,30.016916361976897,0.0,0.0,0.0,0.0,0.0
CC(=O)O[C@H]1CC(C)=CCC/C(C)=C\C(=O)C[C@@]23C(=O)O[C@H]([C@H]1C(C)C)[C@@H]2CC(C)=C1CC[C@](C)(O)[C@@H]2CC[C@@](C)(O2)[C@H](OC(C)=O)CCC(C)=C[C@H]13,8.23110000000001,736.987,3,2,3,0,0,2,0.0,38.12560055148748,29.08661465404235,139.86640984909235,0.0,0.0,0.0,0.0,0.0,0.0,29.08661465404235,0.0,23.691160810220488,19.178148736287287,0.0,0.0,0.0,53.865037263395344,111.32374395747311,44.44283578371744,17.12000766812877,23.912949974228596,5.783244946364939,0.0,0.0,17.90791586385555
CNC(COC)C(=O)O[C@@H]1C/C=C/C=C/C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)CC[C@@H](OC(=O)C(C)N(C)C)[C@H](C)[C@H](OC(C)=O)[C@H](C)/C=C/N(C)C=O)C/C=C/[C@H](OC)C[C@H](C)C/C=C(\C)[C@@H](OC)CC[C@@H](C)[C@@H](O)[C@@H]1C,7.393700000000015,1062.4369999999997,23,0,1,0,0,0,5.316788604006331,57.13072659695945,41.42534232312975,120.60394498031431,0.0,0.0,0.0,0.0,0.0,15.116608065707286,41.42534232312975,56.126962519054274,30.287316457923517,24.078058467137765,4.794537184071822,0.0,0.0,90.99830114567152,96.84224275352233,84.09004423335232,31.022747515506126,36.49954720928913,0.0,6.410095306116121,0.0,23.877221151807397
CC(=O)O[C@H]1/C=C(\C)CC[C@H]2O[C@]2(C)CCC2=C(C)C(=O)O[C@H]2/C=C(\C)C1,4.1742000000000035,374.47700000000015,1,1,2,0,0,1,0.0,23.79966322954379,0.0,66.72279411308317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,11.146209060138535,71.10338003420357,18.9176633526859,11.70501719873199,12.207932775496605,0.0,0.0,0.0,11.938610575903699
C/C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H]1O[C@@]2(C)CC[C@H](O2)[C@H]1C)C(=O)NC1=CC(=O)c2c(C(=O)O)c(O)c(C)c(O)c2C1=O,3.546220000000002,641.7140000000004,10,1,2,1,0,2,5.316788604006331,14.268263091671919,30.595361384336197,91.02148396299923,0.0,0.0,0.0,11.49902366656781,0.0,5.316788604006331,23.671624184645573,0.0,23.442974910033232,14.383611552215466,4.794537184071822,0.0,0.0,45.92300911926414,27.19203322199788,47.30502193617173,41.23980784744303,17.062475158264807,11.570356098935536,5.783244946364939,5.907179729351506,5.969305287951849
C=C/C(C)=C/CCC1(C)OC1C1OC(C)=CC1=O,2.9281000000000015,248.32199999999997,5,0,2,0,0,1,0.0,14.268263091671919,0.0,33.61285484492389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,0.0,0.0,0.0,24.304080427335528,33.61285484492389,6.076020106833881,11.360215682639865,6.103966387748303,6.103966387748303,5.783244946364939,0.0,0.0
